Clients,Average,Std.Dev
5,2.33333,0.471405
5,2.33333,0.471405
5,2.33333,0.471405
5,2.44444,0.684935
5,2.33333,0.666667
5,2.20000,0.400000
5,2.20000,0.400000
5,2.20000,0.400000
5,2.20000,0.400000
5,2.20000,0.400000
5,2.40000,0.489898
5,2.40000,0.489898
5,2.40000,0.489898
5,2.40000,0.489898
5,2.40000,0.489898
5,2.00000,0.707107
5,2.00000,0.707107
5,2.00000,0.707107
5,2.00000,0.707107
5,2.25000,0.829156
5,2.60000,0.489898
5,2.60000,0.489898
5,2.60000,0.489898
5,2.60000,0.489898
5,2.60000,0.489898
5,4.16667,1.34371
5,4.16667,1.34371
5,4.16667,1.34371
5,4.16667,1.34371
5,4.16667,1.34371
5,3.50000,1.50000
5,3.50000,1.50000
5,3.50000,1.70783
5,3.50000,1.70783
5,3.50000,1.70783
5,4.00000,0.632456
5,4.00000,0.632456
5,4.00000,0.632456
5,4.00000,0.632456
5,4.00000,0.632456
5,1.50000,0.763763
5,1.50000,0.763763
5,1.50000,0.763763
5,1.50000,0.763763
5,1.50000,0.763763
5,1.83333,1.06719
5,1.83333,1.06719
5,1.83333,1.06719
5,1.83333,1.06719
5,1.83333,1.06719
10,3.22222,0.785674
10,3.33333,0.942809
10,3.22222,0.916246
10,3.11111,0.993808
10,3.11111,0.737028
10,3.22222,0.916246
10,3.22222,0.628539
10,3.11111,0.737028
10,3.33333,0.666667
10,3.11111,0.874890
10,2.30000,0.781025
10,2.20000,0.871780
10,2.50000,0.921954
10,2.40000,0.663325
10,2.30000,1.00499
10,2.30000,0.781025
10,2.50000,1.02470
10,2.30000,1.10000
10,2.40000,0.916515
10,2.20000,0.871780
10,3.66667,0.745356
10,4.16667,0.897527
10,3.33333,0.471405
10,3.66667,0.745356
10,3.33333,0.471405
10,4.00000,1.41421
10,4.00000,1.52753
10,3.83333,0.687184
10,3.66667,0.942809
10,4.16667,0.897527
10,4.00000,1.00000
10,3.66667,1.59861
10,4.00000,1.00000
10,4.00000,1.41421
10,4.00000,1.15470
10,4.00000,1.15470
10,4.33333,1.24722
10,4.00000,1.00000
10,4.50000,0.957427
10,4.33333,1.59861
10,3.80000,1.32665
10,3.40000,0.489898
10,4.20000,0.979796
10,4.00000,1.26491
10,3.60000,1.35647
10,3.40000,1.01980
10,3.60000,0.489898
10,3.80000,1.16619
10,3.20000,0.748331
10,3.80000,1.32665
10,1.87500,0.599479
10,2.00000,0.707107
10,1.87500,0.780625
10,1.87500,0.599479
10,1.87500,0.599479
10,2.12500,0.780625
10,1.87500,0.330719
10,1.87500,0.599479
10,2.12500,0.927025
10,2.00000,0.866025
10,2.00000,0.816497
10,2.00000,0.816497
10,2.16667,0.687184
10,2.00000,0.577350
10,2.00000,1.15470
10,2.00000,0.816497
10,2.00000,0.816497
10,2.00000,0.816497
10,1.83333,0.897527
10,2.00000,0.816497
10,3.00000,1.56347
10,3.22222,0.785674
10,3.00000,1.05409
10,3.22222,0.785674
10,3.22222,0.785674
10,3.22222,1.47406
10,3.22222,0.916246
10,3.33333,1.41421
10,3.11111,1.28620
10,3.00000,1.15470
10,4.00000,1.41421
10,3.85714,1.95876
10,3.85714,1.64130
10,3.71429,0.699854
10,3.71429,0.699854
10,3.42857,0.494872
10,4.00000,1.92725
10,3.57143,0.728431
10,3.71429,1.48461
10,3.57143,1.49830
10,3.00000,0.755929
10,2.85714,0.832993
10,3.14286,0.832993
10,2.85714,0.832993
10,3.28571,0.699854
10,3.00000,0.755929
10,2.85714,0.832993
10,3.28571,0.451754
10,3.00000,1.06904
10,3.28571,0.880631
15,2.75000,1.08972
15,2.50000,1.11803
15,2.50000,1.11803
15,3.25000,0.829156
15,2.25000,1.47902
15,2.25000,1.47902
15,3.00000,0.707107
15,3.00000,0.00000
15,2.50000,1.11803
15,3.00000,0.707107
15,3.25000,1.08972
15,2.75000,1.47902
15,3.00000,1.22474
15,3.00000,1.22474
15,3.00000,1.58114
15,2.42857,0.903508
15,3.00000,1.77281
15,3.00000,1.69031
15,3.28571,1.66599
15,3.00000,1.77281
15,3.14286,1.64130
15,3.14286,1.64130
15,3.00000,1.77281
15,2.57143,0.494872
15,2.42857,0.728431
15,2.42857,0.728431
15,3.14286,1.24540
15,2.57143,0.494872
15,2.71429,0.880631
15,2.57143,0.494872
15,2.50000,2.06155
15,2.30000,1.10000
15,2.40000,1.01980
15,2.50000,0.806226
15,2.50000,0.806226
15,2.50000,0.806226
15,2.30000,1.00499
15,2.30000,0.900000
15,2.60000,0.800000
15,2.60000,0.800000
15,2.50000,0.806226
15,2.40000,0.800000
15,2.50000,0.921954
15,2.60000,0.916515
15,2.40000,0.916515
15,0.687667,0.505170
15,0.687964,0.502701
15,0.687667,0.507518
15,0.687370,0.503513
15,0.687964,0.505060
15,0.687370,0.510546
15,0.687370,0.500553
15,0.687073,0.500071
15,0.687667,0.504582
15,0.687370,0.504103
15,0.687667,0.505758
15,0.687964,0.506822
15,0.687667,0.505758
15,0.687667,0.504582
15,0.687667,0.502812
15,2.00000,0.966092
15,1.86667,0.956847
15,1.93333,1.80616
15,1.93333,1.06249
15,1.93333,1.06249
15,1.80000,1.04563
15,1.93333,1.23648
15,1.86667,0.956847
15,1.80000,0.979796
15,1.80000,1.10755
15,1.93333,1.23648
15,1.93333,0.997775
15,1.86667,1.02415
15,1.86667,1.08730
15,1.73333,0.853750
15,4.71429,2.11891
15,4.42857,1.76126
15,4.28571,1.66599
15,4.14286,2.64189
15,4.14286,1.88442
15,4.14286,1.88442
15,4.71429,2.43277
15,4.00000,1.77281
15,4.14286,1.80702
15,4.71429,2.11891
15,3.71429,1.48461
15,4.14286,1.72615
15,4.14286,1.64130
15,4.28571,1.57791
15,4.28571,1.74964
15,2.75000,0.968246
15,2.50000,1.00000
15,2.62500,0.992157
15,2.50000,1.22474
15,2.25000,0.661438
15,2.25000,0.661438
15,2.62500,0.856957
15,2.75000,1.39194
15,2.25000,0.661438
15,2.50000,0.866025
15,2.62500,0.856957
15,2.12500,0.780625
15,2.50000,1.65831
15,2.50000,1.00000
15,2.75000,0.968246
15,2.11111,0.993808
15,2.44444,2.06080
15,2.11111,0.993808
15,2.44444,1.57135
15,2.33333,1.05409
15,2.44444,1.70692
15,2.22222,1.13312
15,2.11111,1.28620
15,2.33333,1.15470
15,2.22222,1.31468
15,2.33333,1.15470
15,2.11111,1.09994
15,2.22222,0.785674
15,2.22222,1.22726
15,2.44444,1.16534
15,3.55556,1.94999
15,3.00000,1.88562
15,3.55556,1.94999
15,3.44444,2.11403
15,3.33333,2.21108
15,3.22222,2.04275
15,3.44444,1.34256
15,3.11111,2.18299
15,3.33333,1.63299
15,3.55556,2.11403
15,3.33333,1.63299
15,3.44444,1.70692
15,3.33333,2.16025
15,3.33333,1.63299
15,3.11111,2.33069
15,1.86667,0.805536
15,1.86667,0.805536
15,1.80000,0.748331
15,1.80000,0.909212
15,1.86667,0.618241
15,1.80000,1.04563
15,1.86667,0.618241
15,1.80000,0.909212
15,1.80000,0.979796
15,1.80000,1.64114
15,1.86667,0.718022
15,1.80000,0.832666
15,1.80000,0.909212
15,1.80000,0.832666
15,1.86667,0.718022
20,3.50000,0.957427
20,3.83333,0.897527
20,3.66667,1.24722
20,3.50000,0.500000
20,3.00000,1.63299
20,3.50000,0.500000
20,3.50000,0.763763
20,3.50000,0.763763
20,3.50000,0.763763
20,3.66667,1.24722
20,3.66667,1.24722
20,3.83333,1.06719
20,3.83333,1.06719
20,3.16667,1.77169
20,4.00000,2.94392
20,3.33333,1.10554
20,3.66667,0.942809
20,3.66667,1.37437
20,3.00000,1.63299
20,3.50000,0.957427
20,3.00000,1.09545
20,3.00000,1.26491
20,3.00000,1.09545
20,3.20000,2.22711
20,3.00000,1.09545
20,3.00000,1.09545
20,3.00000,1.26491
20,3.20000,2.22711
20,3.20000,0.979796
20,3.00000,1.09545
20,2.80000,1.46969
20,3.20000,2.22711
20,3.00000,1.09545
20,3.00000,1.09545
20,3.00000,1.09545
20,3.20000,0.979796
20,3.00000,0.632456
20,3.20000,0.748331
20,3.40000,1.95959
20,3.20000,0.748331
20,0.932773,1.09030
20,0.924370,1.06242
20,0.932773,1.12445
20,0.915966,1.09299
20,0.915966,1.10446
20,0.932773,1.08644
20,0.920168,1.07587
20,0.924370,1.12017
20,0.924370,1.12392
20,0.911765,1.13231
20,0.920168,1.15861
20,0.932773,1.12445
20,0.915966,1.09299
20,0.911765,1.11737
20,0.932773,1.12445
20,0.936975,1.14138
20,0.911765,1.05947
20,0.932773,1.15759
20,0.920168,1.04416
20,0.915966,1.22014
20,3.42857,1.04978
20,3.42857,1.17803
20,3.57143,1.39971
20,3.42857,1.67819
20,3.57143,1.04978
20,3.57143,1.76126
20,3.57143,1.39971
20,3.71429,1.27775
20,3.57143,1.59079
20,3.14286,1.35526
20,3.71429,1.57791
20,3.71429,1.57791
20,3.42857,1.04978
20,3.42857,1.59079
20,3.57143,1.67819
20,3.14286,1.45686
20,2.85714,2.09956
20,3.14286,1.72615
20,3.85714,1.55183
20,3.57143,1.76126
20,6.00000,2.44949
20,5.75000,1.08972
20,6.75000,1.08972
20,5.25000,2.58602
20,5.50000,4.38748
20,5.25000,1.92029
20,5.00000,3.39116
20,6.00000,2.54951
20,6.00000,0.707107
20,5.25000,2.48747
20,5.50000,0.500000
20,6.75000,1.08972
20,6.50000,1.11803
20,5.25000,2.77263
20,5.25000,2.48747
20,6.75000,1.78536
20,5.75000,0.829156
20,6.00000,2.12132
20,5.75000,1.63936
20,5.25000,2.48747
20,5.20000,1.93907
20,5.20000,1.60000
20,4.80000,1.83303
20,5.40000,2.05913
20,5.40000,1.85472
20,5.20000,1.60000
20,6.00000,1.41421
20,4.80000,2.22711
20,4.80000,1.46969
20,4.80000,1.93907
20,4.60000,2.24499
20,5.20000,1.60000
20,4.60000,2.65330
20,5.40000,1.74356
20,4.80000,3.65513
20,4.80000,1.93907
20,5.00000,2.19089
20,4.80000,2.22711
20,5.00000,2.28035
20,4.60000,2.15407
20,6.00000,2.44949
20,5.80000,2.31517
20,5.60000,1.85472
20,4.80000,2.48193
20,5.80000,2.03961
20,5.20000,2.22711
20,5.60000,1.85472
20,5.60000,1.85472
20,5.00000,1.41421
20,5.00000,2.36643
20,5.00000,1.78885
20,5.60000,2.15407
20,5.80000,2.48193
20,5.80000,2.31517
20,5.80000,1.60000
20,5.80000,1.93907
20,5.40000,2.05913
20,5.40000,2.05913
20,4.80000,2.48193
20,5.60000,2.15407
